cultura,sistema,regiao,uf,mes_inicio,mes_fim,observacao,fonte,ano,url,revisor
# Alface — cultivares de inverno (janela mais informativa: cobre as 5 regiões).
# Cultivares de verão, pela mesma fonte, podem ser plantadas o ano todo.
alface,campo_aberto,centro_oeste,,3,9,"Cultivares de inverno. Cultivares de verão podem ser plantadas o ano todo, pela mesma fonte. Muda em canteiro; colheita 60-80 dias apos o plantio.",Embrapa Hortalicas e Sebrae - Tabela de Informacoes Gerais sobre Plantio de Hortalicas (adaptado de Amaro et al. 2007),2010,https://www.embrapa.br/documents/1355126/2502095/tabela+de+informa%C3%A7%C3%B5es+para+o+plantio.docx+(1).pdf/66c01c27-30bf-8de4-9691-0dd365746d3f,
alface,campo_aberto,nordeste,,3,9,"Cultivares de inverno. Cultivares de verão podem ser plantadas o ano todo, pela mesma fonte. Muda em canteiro; colheita 60-80 dias apos o plantio.",Embrapa Hortalicas e Sebrae - Tabela de Informacoes Gerais sobre Plantio de Hortalicas (adaptado de Amaro et al. 2007),2010,https://www.embrapa.br/documents/1355126/2502095/tabela+de+informa%C3%A7%C3%B5es+para+o+plantio.docx+(1).pdf/66c01c27-30bf-8de4-9691-0dd365746d3f,
alface,campo_aberto,norte,,3,7,"Cultivares de inverno. Cultivares de verão podem ser plantadas o ano todo, pela mesma fonte. Muda em canteiro; colheita 60-80 dias apos o plantio.",Embrapa Hortalicas e Sebrae - Tabela de Informacoes Gerais sobre Plantio de Hortalicas (adaptado de Amaro et al. 2007),2010,https://www.embrapa.br/documents/1355126/2502095/tabela+de+informa%C3%A7%C3%B5es+para+o+plantio.docx+(1).pdf/66c01c27-30bf-8de4-9691-0dd365746d3f,
alface,campo_aberto,sudeste,,2,7,"Cultivares de inverno. Cultivares de verão podem ser plantadas o ano todo, pela mesma fonte. Muda em canteiro; colheita 60-80 dias apos o plantio.",Embrapa Hortalicas e Sebrae - Tabela de Informacoes Gerais sobre Plantio de Hortalicas (adaptado de Amaro et al. 2007),2010,https://www.embrapa.br/documents/1355126/2502095/tabela+de+informa%C3%A7%C3%B5es+para+o+plantio.docx+(1).pdf/66c01c27-30bf-8de4-9691-0dd365746d3f,
alface,campo_aberto,sul,,2,10,"Cultivares de inverno. Cultivares de verão podem ser plantadas o ano todo, pela mesma fonte. Muda em canteiro; colheita 60-80 dias apos o plantio.",Embrapa Hortalicas e Sebrae - Tabela de Informacoes Gerais sobre Plantio de Hortalicas (adaptado de Amaro et al. 2007),2010,https://www.embrapa.br/documents/1355126/2502095/tabela+de+informa%C3%A7%C3%B5es+para+o+plantio.docx+(1).pdf/66c01c27-30bf-8de4-9691-0dd365746d3f,
# Cenoura — cultivares de verão (única janela que cobre as 5 regiões pela fonte).
# Cultivares de inverno têm janela mais estreita no Sul/Sudeste/Centro-Oeste e
# não são recomendadas no Nordeste nem no Norte, pela mesma fonte.
cenoura,campo_aberto,centro_oeste,,10,3,"Cultivares de verão. Cultivares de inverno nao sao recomendadas nesta regiao, pela mesma fonte. Semeadura direta em canteiro; colheita 85-100 dias apos o plantio.",Embrapa Hortalicas e Sebrae - Tabela de Informacoes Gerais sobre Plantio de Hortalicas (adaptado de Amaro et al. 2007),2010,https://www.embrapa.br/documents/1355126/2502095/tabela+de+informa%C3%A7%C3%B5es+para+o+plantio.docx+(1).pdf/66c01c27-30bf-8de4-9691-0dd365746d3f,
cenoura,campo_aberto,nordeste,,10,3,"Cultivares de verão. Cultivares de inverno nao sao recomendadas nesta regiao, pela mesma fonte. Semeadura direta em canteiro; colheita 85-100 dias apos o plantio.",Embrapa Hortalicas e Sebrae - Tabela de Informacoes Gerais sobre Plantio de Hortalicas (adaptado de Amaro et al. 2007),2010,https://www.embrapa.br/documents/1355126/2502095/tabela+de+informa%C3%A7%C3%B5es+para+o+plantio.docx+(1).pdf/66c01c27-30bf-8de4-9691-0dd365746d3f,
cenoura,campo_aberto,norte,,10,3,"Cultivares de verão. Cultivares de inverno nao sao recomendadas nesta regiao, pela mesma fonte. Semeadura direta em canteiro; colheita 85-100 dias apos o plantio.",Embrapa Hortalicas e Sebrae - Tabela de Informacoes Gerais sobre Plantio de Hortalicas (adaptado de Amaro et al. 2007),2010,https://www.embrapa.br/documents/1355126/2502095/tabela+de+informa%C3%A7%C3%B5es+para+o+plantio.docx+(1).pdf/66c01c27-30bf-8de4-9691-0dd365746d3f,
